mdg,Num_Cohorts,Avg_Freq
TP53,35.0,0.37382374580194244
KMT2C,34.0,0.07621508811290485
BCOR,34.0,0.03035920356262675
ZFHX3,34.0,0.04363468228945477
DMD,34.0,0.06261666382075329
