Cohort,Num_Mutated_Driver_Genes,Mutated_Driver_Genes
PRAD,222,"PTCH1, PTPN11, FUBP1, ZBTB7B, SETBP1, CYSLTR2, MGA, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, EEF1A1, FAT1, KMT2D, SOS1, BCL2L11, ZFP36L1, EPHA3, ZC3H12A, TBX3, GPS2, EGR3, MAPK1, BCOR, ATRX, VHL, RFC1, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, JAK2, JAK3, JAK1, KLF5, RARA, MEN1, RB1, LZTR1, SPOP, FLNA, PLCG1, SMAD2, APC, TXNIP, MECOM, SF1, DMD, GNA13, GNA11, H3F3C, APOB, NSD1, MET, RRAS2, MTOR, CNBD1, TAF1, ATR, HLA-A, AMER1, RAD21, CTNND1, COL5A1, PIK3R2, PIK3R1, NUP133, PRKAR1A, MYCN, PMS1, PMS2, BRAF, STK11, HRAS, TCF12, POLE, KIF1A, AXIN2, AXIN1, SMARCB1, TSC1, RHOB, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, ARID5B, KANSL1, RXRA, MAP2K4, RAC1, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, IL6ST, CDK12, WT1, ZFHX3, LEMD2, CDKN1B, CDKN1A, BRCA1, BRCA2, POLQ, SMC1A, ARAF, CIC, FGFR2, FGFR3, FGFR1, TNFAIP3, PSIP1, RET, CYLD, PLXNB2, CTNNB1, EP300, MED12, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2A, EPHA2, KDM6A, THRAP3, NF2, NF1, ATXN3, TET2, TCF7L2, CASP8, AKT1, ACVR1B, SOX17, HGF, HUWE1, FOXA1, FOXA2, MUC6, EPAS1, INPPL1, IDH1, EGFR, AJUBA, CDH1, KMT2A, KEAP1, CARD11, ALK, NFE2L2, SOX9, RIT1, SRSF2, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, U2AF1, PTPRD, PTPRC, IRF2, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, CSDE1, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, SIN3A, RNF43, TBL1XR1, TLR4, ZCCHC12, PGR, PLCB4, ESR1, AR, CREB3L3, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, PDGFRA, ZBTB20, DDX3X, MYC, CTCF, TSC2, ZMYM3, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1"
SARC,176,"PTCH1, PTPN11, SETBP1, CYSLTR2, MGA, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, WHSC1, EEF1A1, FAT1, KMT2D, HIST1H1C, ZFP36L1, EPHA3, ZC3H12A, GPS2, MAPK1, BCOR, PHF6, ATRX, DIAPH2, RASA1, ABL1, MLH1, KRAS, RPL5, JAK3, JAK1, RARA, MEN1, RB1, FLNA, PLCG1, RNF111, NUP93, APC, MECOM, SF1, BRD7, DMD, ZNF133, GNA11, APOB, KEL, MET, CNBD1, TAF1, ATR, AMER1, CTNND1, PIK3R1, NUP133, PMS1, PMS2, BRAF, TCF12, POLE, RQCD1, KIF1A, STAG2, XPO1, AXIN1, TSC1, SETD2, TP53, KANSL1, RXRA, MAP2K4, KDM5C, RAC1, CHD3, CHD4, CHD8, POLRMT, GRIN2D, CDK12, GNAS, ZFHX3, CDKN1A, SCAF4, BRCA2, POLQ, LATS2, CIC, FGFR3, FGFR1, RET, PLXNB2, GABRA6, EP300, MED12, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, CDKN2A, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, TET2, TCF7L2, ACVR1B, SOX17, HGF, HUWE1, FOXA1, MUC6, FAM46D, INPPL1, IDH1, EGFR, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, SOX9, PTMA, ELF3, FOXQ1, RIT1, ERBB4, DNMT3A, PTEN, PTPRD, PTPRC, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, ARID2, SMARCA1, SMARCA4, CUL1, CUL3, SIN3A, RNF43, CDK4, TLR4, PPP2R1A, PLCB4, CREB3L3, CHEK2, PBRM1, PIM1, SMC3, PDGFRA, ZBTB20, DDX3X, MYC, GATA3, CCND1, CTCF, TSC2, ZMYM2, ZMYM3, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1, TGIF1"
THCA,130,"PTCH1, SETBP1, CYSLTR2, ASXL1, SPTA1, USP9X, EEF1A1, PPP6C, KMT2D, SOS1, ZC3H12A, TBX3, BCOR, PHF6, ATRX, RASA1, NIPBL, KRAS, JAK2, JAK1, RARA, MEN1, RB1, LZTR1, SPOP, FLNA, PLCG1, NUP93, APC, MECOM, BRD7, DMD, APOB, NSD1, KEL, MET, TAF1, ATR, CTNND1, COL5A1, PIK3R1, NUP133, PMS1, BRAF, HRAS, KIF1A, STAG2, AXIN1, MAP3K1, SETD2, TP53, MAP2K1, EIF1AX, CHD3, CHD4, ZFP36L2, GRIN2D, CDK12, GNAS, WT1, ZFHX3, LEMD2, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS1, FBXW7, TGFBR2, FGFR2, RET, CYLD, PLXNB2, CTNNB1, GABRA6, KMT2C, KMT2B, MACF1, DICER1, ATM, CACNA1A, CDKN2C, CDKN2A, KDM6A, NRAS, NF1, TET2, TCF7L2, AKT1, HUWE1, DACH1, MUC6, KMT2A, KEAP1, ALK, ALB, ERBB3, ERBB4, DNMT3A, PTEN, U2AF1, PTPRD, KIT, PIK3CA, PIK3CB, PIK3CG, CSDE1, ARID2, PDS5B, ACVR2A, SMARCA4, CUL1, CUL3, TLR4, PPP2R1A, PLCB4, PCBP1, CREB3L3, PPM1D, CHEK2, IL7R, MSH2, SMC3, CTCF, RPL22, CREBBP, SF3B1, SPTAN1"
CESC,284,"PTCH1, BTG2, FUBP1, ZBTB7B, SETBP1, CYSLTR2, MGA, BCL2, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, EEF1A1, PPP6C, FAT1, KMT2D, HIST1H1E, HIST1H1C, SOS1, BCL2L11, ZFP36L1, ZNF750, EPHA3, ZC3H12A, TBX3, GPS2, EGR3, BAP1, GNAQ, MAPK1, BCOR, PHF6, ATRX, DIAPH2, RFC1, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, JAK2, JAK3, JAK1, KLF5, RARA, KRT222, RB1, LZTR1, SPOP, FLNA, PLCG1, CEBPA, RNF111, DHX9, NUP93, SMAD2, APC, TXNIP, MECOM, SF1, BRD7, DMD, ZNF133, GNA13, GNA11, H3F3A, APOB, CBWD3, NSD1, KEL, MET, MTOR, CNBD1, TAF1, ATR, HLA-B, HLA-A, AMER1, RAD21, CTNND1, DAZAP1, COL5A1, PIK3R2, PIK3R1, B2M, NUP133, MYCN, PMS1, PMS2, BRAF, STK11, HRAS, TCF12, POLE, RQCD1, KIF1A, STAG2, XPO1, AXIN2, SMARCB1, TSC1, RHOB, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, ARID5B, EZH2, KANSL1, RXRA, MAP2K1, KDM5C, RAC1, EIF1AX, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, GRIN2D, IL6ST, CDK12, GNAS, WT1, MGMT, ZFHX3, LEMD2, CDKN1B, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, RPS6KA3, FBXW7, TGFBR2, FGFR2, FGFR1, MYD88, TNFAIP3, PSIP1, RET, CYLD, TMSB4X, PLXNB2, CTNNB1, GABRA6, EP300, MED12, RAF1, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2A, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, ATXN3, TET2, TCF7L2, CASP8, AKT1, ACVR1B, SOX17, HGF, HUWE1, FOXA1, FOXA2, DACH1, MUC6, FAM46D, EPAS1, INPPL1, IDH2, TRAF3, NPM1, EGFR, AJUBA, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, ALB, NFE2L2, SOX9, PTMA, ELF3, FOXQ1, RIT1, SRSF2, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, U2AF1, PTPRD, PTPRC, IRF2, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, MAX, CSDE1, UNCX, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, CD79B, SIN3A, RNF43, CDK4, TBL1XR1, TLR4, ZCCHC12, PPP2R1A, PGR, CBFB, RUNX1, PLCB4, ESR1, PCBP1, AR, CREB3L3, PPM1D, CHEK2, PBRM1, MSH2, MSH3, MSH6, ATF7IP, PIM1, SMC3, PDGFRA, ZBTB20, DDX3X, MYC, GATA3, CCND1, CD70, CTCF, RPL22, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1, TGIF1"
PAAD,223,"PTCH1, BTG2, ZBTB7B, SETBP1, CYSLTR2, MGA, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, PPP6C, FAT1, KMT2D, HIST1H1E, SOS1, ZNF750, ZC3H12A, TBX3, EGR3, BAP1, GNAQ, BCOR, ATRX, DIAPH2, RFC1, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, JAK2, JAK3, JAK1, KLF5, MEN1, RB1, LZTR1, SPOP, FLNA, PLCG1, RNF111, DHX9, NUP93, SMAD2, APC, MECOM, SF1, DMD, ZNF133, GNA11, H3F3C, H3F3A, APOB, NSD1, KEL, MET, MTOR, CNBD1, TAF1, ATR, HLA-A, AMER1, RAD21, CTNND1, COL5A1, PIK3R2, PIK3R1, PRKAR1A, MYCN, PMS1, PMS2, BRAF, STK11, HRAS, POLE, KIF1A, STAG2, XPO1, AXIN2, AXIN1, SMARCB1, TSC1, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, EZH2, KANSL1, RXRA, MAP2K4, KDM5C, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, GRIN2D, IL6ST, CDK12, GNAS, ZFHX3, LEMD2, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, FBXW7, TGFBR2, FGFR3, TNFAIP3, RET, CYLD, PLXNB2, CTNNB1, GABRA6, EP300, MED12, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2A, EPHA2, KDM6A, THRAP3, NF1, TET2, CASP8, ACVR1B, SOX17, HUWE1, FOXA1, DACH1, MUC6, EPAS1, INPPL1, IDH2, IDH1, EGFR, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, ALB, NFE2L2, ELF3, FOXQ1, ERBB3, ERBB4, DNMT3A, EEF2, U2AF1, PTPRD, PTPRC, IRF2, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, CSDE1, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, SIN3A, RNF43, CDK4, PPP2R1A, PGR, PLCB4, ESR1, PCBP1, AR, CREB3L3, TCEB1, CHEK2, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, SMC3, PDGFRA, ZBTB20, DDX3X, GATA3, CTCF, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1, TGIF1"
CHOL,88,"PTCH1, MGA, SPTA1, NOTCH1, USP9X, EEF1A1, PPP6C, FAT1, KMT2D, TBX3, GPS2, BAP1, BCOR, ERCC2, RASA1, NIPBL, KRAS, RARA, FLNA, PLCG1, DHX9, APC, BRD7, DMD, APOB, ATR, CTNND1, DAZAP1, PIK3R1, B2M, BRAF, STK11, POLE, STAG2, TSC1, FLT3, SETD2, TP53, MAP2K1, CDK12, ZFHX3, BRCA2, ARAF, RPS6KA3, TGFBR2, FGFR2, RET, PLXNB2, EP300, KMT2C, DICER1, ATM, NCOR1, ERBB2, CDKN2A, EPHA2, THRAP3, NRAS, NF2, FOXA2, MUC6, INPPL1, IDH2, IDH1, KMT2A, KEAP1, CARD11, ALB, NFE2L2, ELF3, RIT1, ERBB4, PTEN, PTPRC, IRF6, PIK3CA, PIK3CB, ACVR2A, AR, CHEK2, PBRM1, SMC3, CTCF, TSC2, SF3B1, MYH9, ARID1A, SPTAN1"
LUSC,287,"PTCH1, PTPN11, FUBP1, ZBTB7B, SETBP1, CYSLTR2, MGA, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, EEF1A1, PPP6C, FAT1, KMT2D, HIST1H1E, HIST1H1C, SOS1, ZFP36L1, ZNF750, EPHA3, ZC3H12A, TBX3, GPS2, EGR3, BAP1, GNAQ, MAPK1, BCOR, PHF6, ATRX, VHL, DIAPH2, RFC1, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, ACVR1, JAK2, JAK3, JAK1, KLF5, RARA, MEN1, KRT222, RB1, LZTR1, SPOP, FLNA, PLCG1, CEBPA, RNF111, DHX9, NUP93, SMAD2, APC, TXNIP, MECOM, SF1, BRD7, DMD, ZNF133, GNA13, GNA11, H3F3C, H3F3A, APOB, NSD1, KEL, MET, RRAS2, MTOR, CNBD1, TAF1, ATR, HLA-B, HLA-A, AMER1, RAD21, CTNND1, DAZAP1, COL5A1, PIK3R2, PIK3R1, B2M, NUP133, PRKAR1A, MYCN, PMS1, PMS2, BRAF, STK11, HRAS, TCF12, POLE, KIF1A, STAG2, XPO1, AXIN2, AXIN1, SMARCB1, TSC1, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, RHEB, ARID5B, EZH2, KANSL1, RXRA, MAP2K1, MAP2K4, KDM5C, RAC1, EIF1AX, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, GRIN2D, IL6ST, CDK12, GNAS, WT1, MGMT, ZFHX3, LEMD2, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, RPS6KA3, FBXW7, TGFBR2, FGFR2, FGFR3, FGFR1, MYD88, TNFAIP3, PSIP1, RET, CYLD, TMSB4X, PLXNB2, CTNNB1, GABRA6, EP300, MED12, RAF1, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2C, CDKN2A, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, ATXN3, TET2, TCF7L2, CASP8, AKT1, ACVR1B, SOX17, HGF, HUWE1, FOXA1, FOXA2, DACH1, MUC6, FAM46D, EPAS1, INPPL1, IDH1, TRAF3, NPM1, EGFR, AJUBA, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, ALB, NFE2L2, SOX9, PTMA, ELF3, FOXQ1, RIT1, SRSF2, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, U2AF1, PTPRD, PTPRC, IRF2, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, MAX, CSDE1, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, CD79B, SIN3A, RNF43, TBL1XR1, TLR4, ZCCHC12, PPP2R1A, PGR, CBFB, RUNX1, PLCB4, ESR1, PCBP1, AR, CREB3L3, PPM1D, CHEK2, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, PIM1, SMC3, PDGFRA, ZBTB20, DDX3X, MYC, GATA3, CCND1, CD70, CTCF, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1, TGIF1"
BLCA,290,"PTCH1, PTPN11, BTG2, FUBP1, ZBTB7B, SETBP1, CYSLTR2, MGA, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, EEF1A1, PPP6C, FAT1, KMT2D, HIST1H1E, HIST1H1C, SOS1, BCL2L11, ZFP36L1, ZNF750, EPHA3, ZC3H12A, TBX3, GPS2, EGR3, BAP1, GNAQ, MAPK1, BCOR, PHF6, ATRX, VHL, DIAPH2, RFC1, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, ACVR1, JAK2, JAK3, JAK1, KLF5, RARA, MEN1, KRT222, RB1, LZTR1, SPOP, FLNA, PLCG1, CEBPA, RNF111, DHX9, NUP93, SMAD2, APC, TXNIP, MECOM, SF1, BRD7, DMD, ZNF133, GNA13, GNA11, H3F3C, H3F3A, APOB, CBWD3, NSD1, KEL, MET, MTOR, CNBD1, TAF1, ATR, HLA-B, HLA-A, AMER1, RAD21, CTNND1, DAZAP1, COL5A1, PIK3R2, PIK3R1, B2M, NUP133, PRKAR1A, MYCN, PMS1, PMS2, BRAF, HRAS, TCF12, POLE, KIF1A, STAG2, XPO1, AXIN2, AXIN1, SMARCB1, TSC1, RHOB, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, RHEB, ARID5B, EZH2, KANSL1, RXRA, MAP2K1, MAP2K4, KDM5C, RAC1, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, GRIN2D, IL6ST, CDK12, GNAS, WT1, MGMT, ZFHX3, LEMD2, CDKN1B, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, RPS6KA3, FBXW7, TGFBR2, FGFR2, FGFR3, FGFR1, MYD88, TNFAIP3, PSIP1, RET, CYLD, PLXNB2, CTNNB1, GABRA6, EP300, MED12, RAF1, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2C, CDKN2A, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, ATXN3, TET2, CASP8, AKT1, ACVR1B, SOX17, HGF, HUWE1, FOXA1, FOXA2, DACH1, MUC6, FAM46D, EPAS1, INPPL1, IDH2, IDH1, TRAF3, EGFR, AJUBA, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, ALB, NFE2L2, SOX9, PTMA, ELF3, FOXQ1, RIT1, SRSF2, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, U2AF1, PTPRD, PTPRC, IRF2, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, CSDE1, UNCX, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, CD79B, SIN3A, RNF43, CDK4, TBL1XR1, TLR4, ZCCHC12, PPP2R1A, PGR, CBFB, RUNX1, PLCB4, ESR1, PCBP1, AR, CREB3L3, TCEB1, PPM1D, CHEK2, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, PIM1, SMC3, PDGFRA, ZBTB20, DDX3X, MYC, GATA3, CCND1, CD70, CTCF, RPL22, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1, TGIF1"
ACC,151,"PTCH1, PTPN11, BTG2, SETBP1, CYSLTR2, MGA, SPTA1, USP9X, WHSC1, EEF1A1, FAT1, KMT2D, HIST1H1E, BCL2L11, ZFP36L1, TBX3, EGR3, BAP1, MAPK1, BCOR, PHF6, ATRX, DIAPH2, RFC1, NIPBL, MLH1, ACVR1, JAK2, JAK3, JAK1, KLF5, MEN1, RB1, SPOP, FLNA, PLCG1, APC, TXNIP, BRD7, DMD, H3F3A, APOB, NSD1, KEL, CNBD1, TAF1, ATR, COL5A1, PIK3R2, PRKAR1A, PMS1, PMS2, BRAF, STK11, POLE, KIF1A, STAG2, XPO1, RHOB, FLT3, MAP3K1, MAP3K4, SETD2, TP53, ARID5B, KANSL1, CHD3, POLRMT, GRIN2D, GNAS, WT1, MGMT, ZFHX3, SCAF4, POLQ, SMC1A, CIC, TGFBR2, FGFR2, RET, PLXNB2, CTNNB1, GABRA6, EP300, MED12, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, CDKN2A, EPHA2, NRAS, NF1, TET2, TCF7L2, CASP8, HGF, HUWE1, DACH1, MUC6, EGFR, AJUBA, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, ERBB3, ERBB4, EEF2, U2AF1, PTPRD, IRF2, IRF6, PIK3CA, CSDE1, ARID2, PDS5B, SMARCA1, SMARCA4, CUL3, RNF43, TLR4, ZCCHC12, RUNX1, PLCB4, CREB3L3, CHEK2, IL7R, PBRM1, MSH2, MSH6, ATF7IP, SMC3, PDGFRA, ZBTB20, GATA3, RPL22, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, PTPDC1, ARID1A, SPTAN1"
READ,227,"PTCH1, PTPN11, FUBP1, SETBP1, CYSLTR2, MGA, BCL2, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, PPP6C, FAT1, KMT2D, HIST1H1C, SOS1, ZNF750, EPHA3, ZC3H12A, TBX3, GPS2, EGR3, BAP1, MAPK1, BCOR, ATRX, RFC1, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, ACVR1, JAK2, JAK3, JAK1, KLF5, RARA, MEN1, KRT222, RB1, SPOP, FLNA, PLCG1, RNF111, DHX9, SMAD2, APC, TXNIP, MECOM, BRD7, DMD, APOB, NSD1, KEL, MET, RRAS2, CNBD1, TAF1, ATR, HLA-B, HLA-A, AMER1, RAD21, CTNND1, COL5A1, PIK3R1, B2M, NUP133, PRKAR1A, MYCN, PMS1, PMS2, BRAF, TCF12, POLE, KIF1A, STAG2, XPO1, AXIN2, AXIN1, SMARCB1, TSC1, FLT3, MAP3K1, MAP3K4, SETD2, TP53, RHEB, ARID5B, KANSL1, MAP2K1, MAP2K4, KDM5C, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, IL6ST, CDK12, GNAS, WT1, ZFHX3, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, RPS6KA3, FBXW7, TGFBR2, FGFR2, TNFAIP3, RET, CYLD, PLXNB2, CTNNB1, GABRA6, EP300, MED12, RAF1, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, THRAP3, NRAS, NF2, NF1, ATXN3, TET2, TCF7L2, CASP8, SOX17, HGF, HUWE1, FOXA1, DACH1, MUC6, FAM46D, INPPL1, IDH2, IDH1, EGFR, CDH1, CARD11, RBM10, ALK, ALB, NFE2L2, SOX9, ELF3, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, PTPRD, PTPRC, IRF2, KIT, PIK3CA, PIK3CB, PIK3CG, CSDE1, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, SIN3A, RNF43, CDK4, TBL1XR1, TLR4, PPP2R1A, PGR, RUNX1, PLCB4, ESR1, PCBP1, AR, CREB3L3, TCEB1, PPM1D, CHEK2, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, PIM1, SMC3, PDGFRA, MYC, GATA3, CTCF, RPL22, TSC2, ZMYM2, ZMYM3, CREBBP, SF3B1, MYH9, ARID1A, SPTAN1, TGIF1"
LUAD,290,"PTCH1, PTPN11, BTG2, FUBP1, ZBTB7B, SETBP1, CYSLTR2, MGA, BCL2, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, EEF1A1, PPP6C, FAT1, KMT2D, HIST1H1E, HIST1H1C, SOS1, BCL2L11, ZFP36L1, ZNF750, EPHA3, ZC3H12A, TBX3, GPS2, EGR3, BAP1, GNAQ, MAPK1, BCOR, PHF6, ATRX, VHL, DIAPH2, RFC1, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, ACVR1, JAK2, JAK3, JAK1, KLF5, RARA, MEN1, KRT222, RB1, LZTR1, SPOP, FLNA, PLCG1, RNF111, DHX9, NUP93, SMAD2, APC, TXNIP, MECOM, SF1, BRD7, DMD, ZNF133, GNA13, GNA11, H3F3C, APOB, CBWD3, NSD1, KEL, MET, RRAS2, MTOR, CNBD1, TAF1, ATR, HLA-B, HLA-A, AMER1, RAD21, CTNND1, DAZAP1, COL5A1, PIK3R2, PIK3R1, B2M, NUP133, MYCN, PMS1, PMS2, BRAF, STK11, HRAS, TCF12, POLE, RQCD1, KIF1A, STAG2, XPO1, AXIN2, AXIN1, SMARCB1, TSC1, RHOB, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, RHEB, ARID5B, EZH2, KANSL1, MAP2K1, MAP2K4, KDM5C, EIF1AX, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, GRIN2D, IL6ST, CDK12, GNAS, WT1, MGMT, ZFHX3, LEMD2, CDKN1B, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, RPS6KA3, FBXW7, TGFBR2, FGFR2, FGFR3, FGFR1, MYD88, TNFAIP3, PSIP1, RET, CYLD, PLXNB2, CTNNB1, GABRA6, EP300, MED12, RAF1, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2A, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, ATXN3, TET2, TCF7L2, CASP8, AKT1, ACVR1B, SOX17, HGF, HUWE1, FOXA1, FOXA2, DACH1, MUC6, FAM46D, EPAS1, INPPL1, IDH2, IDH1, TRAF3, NPM1, EGFR, AJUBA, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, ALB, NFE2L2, SOX9, PTMA, ELF3, FOXQ1, RIT1, SRSF2, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, U2AF1, PTPRD, PTPRC, IRF2, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, MAX, CSDE1, UNCX, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, CD79B, SIN3A, RNF43, CDK4, TBL1XR1, TLR4, ZCCHC12, PPP2R1A, PGR, RUNX1, PLCB4, ESR1, PCBP1, AR, CREB3L3, TCEB1, PPM1D, CHEK2, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, PIM1, SMC3, PDGFRA, ZBTB20, DDX3X, MYC, GATA3, CCND1, CD70, CTCF, RPL22, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1"
