mdg,Num_Cohorts,Avg_Freq
TP53,35.0,0.37382374580194244
PIK3CA,29.0,0.12612031956228925
APC,31.0,0.10812790651030858
KRAS,31.0,0.1069251105850865
KMT2D,34.0,0.08900643326660852
