"gene1","gene2","p.value","q.value"
"PPP2R1A","INPPL1",2.39706524972178e-10,1.00493469305544e-08
"PPP2R1A","ZFHX3",2.40447614517717e-10,1.00493469305544e-08
"CARD11","TP53",2.50214091247449e-10,1.02995288945361e-08
"PPP2R1A","FAT1",2.5681341961965e-10,1.05011900189215e-08
"POLE","KRAS",2.79825268383684e-10,1.14308128107915e-08
"NF1","TP53",3.00449954877779e-10,1.19704745723644e-08
"TP53","MTOR",3.0554426551524e-10,1.21244828510754e-08
"CTNNB1","ZFHX3",3.26460420738306e-10,1.31862218031365e-08
"KRAS","NOTCH2",3.53129035154022e-10,1.40969163948486e-08
"PIK3R1","KRAS",3.6642768097217e-10,1.42727801521055e-08
"POLQ","TP53",3.74731823332548e-10,1.46235494706201e-08
"TP53","ASXL1",4.25090450940707e-10,1.63396683839676e-08
"KRAS","BCOR",4.69399553374943e-10,1.83473163128109e-08
"ARID2","KRAS",5.81495685020195e-10,2.27284529355903e-08
"TP53","RASA1",6.06368140587796e-10,2.3251108954774e-08
"SETD2","KRAS",6.69828203553504e-10,2.62173210042806e-08
"JAK3","KRAS",6.99553525115519e-10,2.72101078897958e-08
"KMT2A","TP53",7.53625195647407e-10,2.92648633115071e-08
"SMC1A","TP53",7.85450126284537e-10,2.99894844597243e-08
"PPP2R1A","BCOR",8.03756254702035e-10,3.02808922992672e-08
"HUWE1","KRAS",8.74798953635293e-10,3.34304102489507e-08
"ERBB4","TP53",8.93123589750819e-10,3.42389788687828e-08
"FBXW7","TP53",9.4748403614415e-10,3.5790351105738e-08
"NF1","KRAS",1.02740256616517e-09,3.87086784167895e-08
"EEF2","TP53",1.18093789216429e-09,4.43523176203101e-08
"CTNNB1","FBXW7",1.19370762839412e-09,4.44100627918243e-08
"PPP2R1A","JAK1",1.50278067138402e-09,5.60743239739454e-08
"PPP2R1A","FGFR2",1.50278067138402e-09,5.60743239739454e-08
"KRAS","MGA",1.53837420332695e-09,5.64124371162932e-08
"KRAS","ATRX",1.53837420332695e-09,5.64124371162932e-08
"RPL22","CTNNB1",1.61806759360273e-09,5.98694199451501e-08
"CHD4","PIK3R1",1.79731929646497e-09,6.72118253890152e-08
"RB1","KRAS",1.86173372142638e-09,6.90516334654263e-08
"CHD8","KRAS",1.87118280475917e-09,6.90516334654263e-08
"FBXW7","KRAS",1.94286962463739e-09,7.14054729043206e-08
"MECOM","KRAS",1.9576568596672e-09,7.17496991062024e-08
"AR","TP53",2.04288151814852e-09,7.4571433054532e-08
"NSD1","KRAS",2.0893071859933e-09,7.69693956320491e-08
"KRAS","NOTCH1",2.137484417429e-09,7.71940823065545e-08
"SMARCA1","KRAS",2.137484417429e-09,7.71940823065545e-08
"CASP8","TP53",2.64616337402911e-09,9.51146001747917e-08
"SPOP","KRAS",2.97490415250269e-09,1.06691571609209e-07
"MACF1","KRAS",3.19002294835069e-09,1.14015893848251e-07
"ATF7IP","TP53",3.23634158606613e-09,1.14680427283839e-07
"CTCF","KRAS",3.26670768498092e-09,1.16764064396594e-07
"CTNNB1","PIK3R1",3.51747671692666e-09,1.23982020771631e-07
"KRAS","ASXL1",3.74028298919764e-09,1.31689660037693e-07
"PIK3R1","SPOP",3.76125924171811e-09,1.31689660037693e-07
"ERBB3","TP53",3.78197756972791e-09,1.31689660037693e-07
"PPP2R1A","SCAF4",4.07301601343857e-09,1.41532333850645e-07
"BRCA2","KRAS",4.11633290083872e-09,1.42725825787677e-07
"TAF1","KRAS",4.20457672804992e-09,1.45846935270774e-07
"RPL22","PPP2R1A",4.33261944845081e-09,1.51457725455501e-07
"PPP2R1A","NSD1",4.61822315847413e-09,1.58398039744958e-07
"ESR1","TP53",4.63459985675221e-09,1.58398039744958e-07
"TP53","MAP3K4",4.76552212739032e-09,1.61681688049557e-07
"KRAS","SOS1",4.86594519477214e-09,1.62239903668824e-07
"PBRM1","KRAS",4.86594519477214e-09,1.62239903668824e-07
"APOB","KRAS",4.87784065655955e-09,1.62239903668824e-07
"TP53","MET",5.01739766763608e-09,1.65064983948046e-07
"CTCF","FBXW7",5.19982703250767e-09,1.68296324871082e-07
"TP53","PTCH1",5.34738623285029e-09,1.72117052039004e-07
"PPP2R1A","MAP3K1",5.57138010353266e-09,1.79224216320353e-07
"CTNND1","KRAS",6.04681824172813e-09,1.97251609132333e-07
"CACNA1A","KRAS",6.12902951673455e-09,1.98721838038186e-07
"MSH6","KRAS",6.76918992184891e-09,2.1905740333343e-07
"TP53","NOTCH1",7.00196351385766e-09,2.25833708807871e-07
"KRAS","USP9X",7.74215215493054e-09,2.54051281364616e-07
"KDM5C","KRAS",7.8283637075581e-09,2.54433090369665e-07
"ALK","KRAS",7.8283637075581e-09,2.54433090369665e-07
"KRAS","FAT1",8.72370940569713e-09,2.8228083402523e-07
"SF3B1","TP53",8.74310154701976e-09,2.8228083402523e-07
"TP53","CTNND1",9.09888513056691e-09,2.91812607171676e-07
"CCND1","PPP2R1A",9.2286419783599e-09,2.95960992853173e-07
"KRAS","EPHA3",9.60081588851896e-09,3.04225571513998e-07
"PPP2R1A","APOB",9.72569900727667e-09,3.07745404765864e-07
"FOXA2","FBXW7",9.87846538353823e-09,3.10178155672921e-07
"MAP3K1","KRAS",1.03242754481168e-08,3.27009336096917e-07
"CTNNB1","JAK1",1.03354286519313e-08,3.27009336096917e-07
"INPPL1","CTNNB1",1.03354286519313e-08,3.27009336096917e-07
"TP53","DIAPH2",1.18332780662815e-08,3.71976378789728e-07
"NFE2L2","TP53",1.21178273956517e-08,3.76903640969252e-07
"CTNNB1","CHD3",1.39281326349739e-08,4.35377735525192e-07
"KIF1A","KRAS",1.50792159614955e-08,4.73911466282517e-07
"PPP2R1A","TAF1",1.56218330554526e-08,4.86955374672184e-07
"THRAP3","TP53",1.59169346303165e-08,4.94728364240185e-07
"LATS1","TP53",1.69664594385309e-08,5.25177443920328e-07
"PTPRC","TP53",1.69664594385309e-08,5.25177443920328e-07
"PLXNB2","TP53",1.73476831442986e-08,5.37456909034495e-07
"FLNA","KRAS",1.75887712316141e-08,5.4197415279811e-07
"DICER1","KRAS",1.82657180702265e-08,5.64813225281043e-07
"SMC3","TP53",2.32676698867453e-08,7.23591283153229e-07
"DDX3X","TP53",2.32676698867453e-08,7.23591283153229e-07
"CTNNB1","CHD4",2.44230206278537e-08,7.5878177811708e-07
"PPP2R1A","PIK3CA",2.66433932380506e-08,8.39758599948907e-07
