"gene1","gene2","p.value","q.value"
"PPP2R1A","ERBB3",4.56377471332671e-06,0.00010389847898377
"CCND1","FGFR2",4.66311368408447e-06,0.000106276848478236
"CCND1","INPPL1",4.66311368408447e-06,0.000106276848478236
"RPL22","AR",4.72695135770779e-06,0.000107370393594919
"ERBB2","PIK3R1",4.90100722207433e-06,0.000110986116132134
"DNMT3A","TP53",4.94278730958692e-06,0.000111500499376551
"KMT2B","KRAS",4.99698395571869e-06,0.000112076177512059
"KRAS","ZBTB7B",5.13378035992283e-06,0.00011371036032671
"POLRMT","KRAS",5.13378035992283e-06,0.00011371036032671
"PSIP1","TP53",5.23256784804954e-06,0.000117092791461062
"SMARCA4","KRAS",5.23984287813473e-06,0.000117092791461062
"MTOR","KRAS",5.25329867546283e-06,0.000117092791461062
"PPP2R1A","TET2",5.29991273761124e-06,0.000117961753983065
"ERBB3","SPOP",5.36687139364989e-06,0.000121030541126998
"PPP2R1A","SETD2",5.37959998040551e-06,0.000121030541126998
"PIK3R1","USP9X",5.62054932520345e-06,0.000125873164571776
"DICER1","PIK3R1",5.72714225970149e-06,0.000125873164571776
"RAD21","KRAS",5.73967176631778e-06,0.000125873164571776
"KEAP1","KRAS",5.73967176631778e-06,0.000125873164571776
"KMT2C","DAZAP1",5.74415770805975e-06,0.000125873164571776
"FOXA2","NIPBL",5.7554609784098e-06,0.000125873164571776
"TP53","MECOM",5.77641083008181e-06,0.000125873164571776
"TP53","AXIN2",5.77641083008181e-06,0.000125873164571776
"POLRMT","TP53",5.77641083008181e-06,0.000125873164571776
"CDH1","TP53",5.77641083008181e-06,0.000125873164571776
"TSC2","TP53",5.77641083008181e-06,0.000125873164571776
"MSH3","PPP2R1A",5.95424581024107e-06,0.00012992869788376
"MSH2","PIK3R1",6.11783244146649e-06,0.000133024978038949
"PPP2R1A","ATR",6.60893592330055e-06,0.000143596607809261
"PPP2R1A","CACNA1A",6.60893592330055e-06,0.000143596607809261
"MSH6","PPP2R1A",6.82945541533557e-06,0.000148995209105106
"ACVR1","KRAS",6.95894606617684e-06,0.000151379556521994
"SPOP","ZBTB7B",6.96171394424494e-06,0.000151412796672813
"ZMYM2","FOXA2",6.98395586317002e-06,0.000152522627409169
"PGR","PPP2R1A",7.1311596344451e-06,0.000155513679676991
"ERBB4","KRAS",7.30781402265694e-06,0.000159714469778122
"EEF2","PIK3R1",7.43995336747327e-06,0.000163518876795941
"KDM5C","TP53",7.48773994906486e-06,0.00016427722171548
"DAZAP1","CNBD1",7.70833651310803e-06,0.000168657129748015
"FOXA2","CTNNB1",7.82372656391829e-06,0.000172424637633903
"EEF2","CTNNB1",8.00030376749965e-06,0.000174684792092066
"CTCF","CHD4",8.03352183065903e-06,0.000174999655200766
"CTNNB1","FGFR2",8.177817925734e-06,0.000177741999475676
"RPL22","PBRM1",8.38828811353794e-06,0.000183159302613933
"PPP2R1A","EPHA3",8.44520054710934e-06,0.000183488264321648
"PPP2R1A","DHX9",8.44520054710934e-06,0.000183488264321648
"TP53","RAD21",8.54603273175818e-06,0.000185577017134109
"CTNNB1","SPOP",8.62143345104158e-06,0.000186301962342571
"CTCF","SPOP",8.62143345104158e-06,0.000186301962342571
"BRD7","KRAS",8.68975240272221e-06,0.000188266332993806
"FGFR2","PIK3R1",8.97157905376431e-06,0.000195075811844107
"PIK3R1","APC",8.97771293869426e-06,0.000195075811844107
"DAZAP1","EPHA3",9.02555647558177e-06,0.000195805047826197
"INPPL1","FGFR2",9.182767175365e-06,0.000197991407336239
"TBL1XR1","FOXA2",9.30216309684869e-06,0.000200630203079596
"SOX17","PIK3R1",9.31588810138478e-06,0.000200630203079596
"RET","TP53",9.31719363229913e-06,0.000200630203079596
"RPL22","PLXNB2",9.54332810308434e-06,0.00020629298247291
"ATM","CTNNB1",9.58652872436162e-06,0.000206339820698254
"TP53","FUBP1",9.76725906251281e-06,0.000209123849509673
"RNF43","PIK3R1",9.77139719191464e-06,0.000209123849509673
"RPL22","AXIN2",9.79656014738345e-06,0.000210098103975531
"MAP3K1","PIK3R1",9.79735600314752e-06,0.000210098103975531
"PPP2R1A","SOX17",9.84280296610327e-06,0.000211130512782872
"SF3B1","RPL22",1.00978969979685e-05,0.000215721124394511
"PPP2R1A","MAP3K4",1.01255582422838e-05,0.0002159973807835
"CTNNB1","MGA",1.02453010064989e-05,0.000217921071194901
"RPL22","CTCF",1.07629702178548e-05,0.000230611601620259
"PPP2R1A","MTOR",1.08216088935371e-05,0.000230611601620259
"PPP2R1A","SMARCA1",1.08216088935371e-05,0.000230611601620259
"FOXA2","CHD4",1.11127066737881e-05,0.00023371217133939
"THRAP3","SPOP",1.12944800199131e-05,0.000237353094522503
"SPOP","MLH1",1.13559604684434e-05,0.000237972973064714
"DAZAP1","SPOP",1.14373472575079e-05,0.000238480508089975
"FBXW7","CHD3",1.1504587071277e-05,0.000239397891618522
"SPOP","KMT2D",1.16950747009503e-05,0.000245082831304707
"HUWE1","PIK3R1",1.17034936379925e-05,0.000245082831304707
"RPL22","PIK3CG",1.23262006260008e-05,0.00026022950716121
"PIK3R1","NOTCH1",1.23449392601578e-05,0.00026022950716121
"PIK3R1","FAT1",1.33773439915762e-05,0.000285623088009073
"FGFR2","FBXW7",1.36329568953946e-05,0.000288374852782515
"FOXA2","ARAF",1.37619407005099e-05,0.00029165134793719
"FOXA2","FGFR2",1.38541027256674e-05,0.000292950596900245
"TSC1","KRAS",1.41132102446731e-05,0.000296774012379275
"CYLD","KRAS",1.45623270770008e-05,0.000306516933673176
"KDM6A","TP53",1.45971726417421e-05,0.000307337731932322
"FOXA2","MED12",1.52865952593618e-05,0.000321111166390492
"PPP2R1A","POLQ",1.53949046583346e-05,0.000323560607461098
"PPP2R1A","DICER1",1.53949046583346e-05,0.000323560607461098
"PPP2R1A","COL5A1",1.56310335668061e-05,0.000328297130934332
"PPP2R1A","PTCH1",1.5857869869457e-05,0.000331372140600165
"PPP2R1A","ARID2",1.5857869869457e-05,0.000331372140600165
"KMT2A","CTNNB1",1.58852639635265e-05,0.000331372140600165
"PIK3R1","ATRX",1.60135118443866e-05,0.000332676965576951
"POLE","PIK3R1",1.60135118443866e-05,0.000332676965576951
"TP53","LZTR1",1.6092539118335e-05,0.000333906502654285
"RPS6KA3","KRAS",1.64907789180727e-05,0.000346653314615041
"RPL22","ALB",1.6508315252816e-05,0.000347219818527935
"CHD4","JAK1",1.66430781357908e-05,0.000348647808597693
"TP53","BAP1",1.71021708986739e-05,0.000357839636063741
"TP53","AXIN1",1.71021708986739e-05,0.000357839636063741
"PGR","TP53",1.71021708986739e-05,0.000357839636063741
"FGFR2","DAZAP1",1.76750383137013e-05,0.000365077180964172
"GATA3","TP53",1.77168856721403e-05,0.000365077180964172
"CTNNB1","FAT1",1.79933977772112e-05,0.000368840086151079
"PPP2R1A","AXIN2",1.80574444032887e-05,0.000369952571419864
"RPL22","SPOP",1.81458973503453e-05,0.000369952571419864
"RPL22","STAG2",1.81458973503453e-05,0.000369952571419864
"ACVR2A","PLXNB2",1.87079718424296e-05,0.000380393694976998
"SPTAN1","PIK3R1",1.87604250750122e-05,0.000381292499498754
"PMS1","KRAS",1.92076066804742e-05,0.000391030486430585
"SF3B1","KRAS",1.93335697808065e-05,0.000393265562653666
"PPP2R1A","CASP8",1.9418943585436e-05,0.00039483388207455
"TP53","CNBD1",1.96539016338458e-05,0.000400120766998739
"PPP2R1A","DAZAP1",2.00381102993965e-05,0.000407636489214812
"MACF1","CTNNB1",2.02586904434557e-05,0.000410460174131814
"GNAS","KRAS",2.02631427675332e-05,0.000410460174131814
"ZFHX3","PIK3R1",2.03893288359546e-05,0.000416606426095288
"RPL22","RB1",2.05295618508358e-05,0.000418616720656046
"FBXW7","PIK3R2",2.06941275922548e-05,0.000421247096715768
"ERBB4","PIK3R1",2.1083303819029e-05,0.0004264016246592
"TP53","ZBTB7B",2.12681453549346e-05,0.000429878900720618
"PIK3CA","SPOP",2.17665247990538e-05,0.000440664093100816
"FBXW7","NOTCH1",2.2318770447281e-05,0.000449910678128603
"PPP2R1A","NF1",2.31880726949477e-05,0.000468839401079536
"PLXNB2","SPOP",2.36394895721095e-05,0.000480737908516173
"KRAS","PTCH1",2.41489461720646e-05,0.00048910771247335
"PPP2R1A","RASA1",2.45230047321407e-05,0.000496742967249883
"INPPL1","ARID5B",2.48201279047465e-05,0.000501776539947167
"KMT2C","CTNNB1",2.51833844907257e-05,0.000507990968041303
"CCND1","FBXW7",2.59843323060731e-05,0.00052361030612812
"PPP2R1A","NUP133",2.63147768038976e-05,0.000531086881012736
"TP53","EGR3",2.66939071696611e-05,0.00053518809844836
"NRAS","TP53",2.66939071696611e-05,0.00053518809844836
"NCOR1","PIK3R1",2.72803444350484e-05,0.000546440321936472
"KANSL1","KRAS",2.72807873758842e-05,0.000546440321936472
"ZMYM2","KRAS",2.72807873758842e-05,0.000546440321936472
"PPP2R1A","ZFP36L2",2.73389301948652e-05,0.000546440321936472
"RPL22","POLQ",2.77410134076038e-05,0.000555061573697208
"FOXA2","SPOP",2.78384647428815e-05,0.000556868929952592
"FOXA2","SPTA1",2.84645141252129e-05,0.000570992813198282
"FOXA2","APOB",2.84645141252129e-05,0.000570992813198282
"CTNNB1","KANSL1",2.89224318998186e-05,0.000576765980632787
"PPP2R1A","ALK",2.90123705604582e-05,0.000576765980632787
"PIK3R1","EPHA3",2.95035746152024e-05,0.000583947959936119
"CARD11","PIK3R1",2.95035746152024e-05,0.000583947959936119
"PIK3R1","FLNA",2.96742588935689e-05,0.000587439071995679
"ARID1A","ARHGAP35",2.97893858839016e-05,0.000588086998042635
"PPP2R1A","RFC1",2.9902500895501e-05,0.000588086998042635
"GABRA6","KRAS",3.01542082852278e-05,0.000590832826332188
"TET2","PIK3R1",3.01812363811971e-05,0.000590832826332188
"KRAS","RFC1",3.02612088803398e-05,0.00059237666869759
"RNF43","PDS5B",3.05444187056098e-05,0.000599849496747725
"GNAS","TP53",3.1043115702406e-05,0.000608298070118325
"FGFR2","JAK1",3.19362144781168e-05,0.000626999352143295
"FGFR2","CIC",3.1983037414097e-05,0.000626999352143295
"CTNNB1","CIC",3.21886165906074e-05,0.000631530804535198
"FOXA2","ARHGAP35",3.22461219804637e-05,0.000631530804535198
"TP53","WHSC1",3.24895328817319e-05,0.000638368592142088
"RPL22","WHSC1",3.29695071963574e-05,0.000645589152052089
"CTNNB1","ARID5B",3.34419500637342e-05,0.000660017141593644
"PPP2R1A","HGF",3.36093986698595e-05,0.000660403866789579
"PIK3CA","CHD4",3.36278143979955e-05,0.000660403866789579
"MED12","FBXW7",3.37805345383724e-05,0.000661605746167639
"GABRA6","ACVR1",3.38802043392303e-05,0.000665552233458623
"TP53","ASXL2",3.39576409111103e-05,0.000666087525270386
"MSH3","PIK3R1",3.43879654797524e-05,0.000674325294952248
"PIK3CA","INPPL1",3.46208983839633e-05,0.000678823052326628
"NCOR1","FGFR2",3.46400554820503e-05,0.000678823052326628
"ARHGAP35","CTNNB1",3.48714213895637e-05,0.000681129470905031
"KMT2B","PIK3R1",3.48816046075576e-05,0.000681129470905031
"HUWE1","CTNNB1",3.51896945644405e-05,0.000684705434468265
"FOXA2","KANSL1",3.57479995580971e-05,0.000694521435872296
"RPL22","CASP8",3.58869258432358e-05,0.000696367503028861
"MED12","CTNNB1",3.64326700770583e-05,0.000702836199562525
"DDX3X","FOXA2",3.6447992085581e-05,0.000703586880265598
"FOXA2","BCOR",3.69675999874319e-05,0.000714403093460874
"FOXA2","CHD3",3.69675999874319e-05,0.000714403093460874
"FGFR2","FLNA",3.70634563971006e-05,0.000716697203356687
"PPP2R1A","CUL3",3.81921584410346e-05,0.00073236309590515
"PPP2R1A","ACVR1B",3.92954079562524e-05,0.00075297728130954
"XPO1","KRAS",3.97038759310053e-05,0.000760996637490049
"FAM46D","KRAS",3.97038759310053e-05,0.000760996637490049
"DNMT3A","KRAS",3.97038759310053e-05,0.000760996637490049
"PLXNB2","FGFR2",4.05761801650072e-05,0.000782191628695368
"TP53","PTPN11",4.08345174830001e-05,0.000783174764428947
"CCND1","FOXA2",4.08533678646628e-05,0.000784605523901205
"MED12","PIK3R1",4.08824420422309e-05,0.000784605523901205
"PIK3R1","NIPBL",4.22224250825826e-05,0.000805656542481672
"BRCA2","PIK3R1",4.22224250825826e-05,0.000805656542481672
"FBXW7","JAK1",4.25863907131511e-05,0.000813449877681615
"PPP2R1A","NOTCH2",4.26400639015122e-05,0.000813497255289911
"PPP2R1A","KIF1A",4.26400639015122e-05,0.000813497255289911
"RPL22","KMT2C",4.32779305469097e-05,0.000836170379577297
"FOXA2","MAP3K1",4.35814334963163e-05,0.000838959213053947
"CCND1","STAG2",4.37811103698485e-05,0.000844158282980899
"HGF","KRAS",4.4427828626265e-05,0.000850121708877935
"CTCF","CTNNB1",4.6248595663316e-05,0.000875615077124483
"INPPL1","SPOP",4.63861221199275e-05,0.000877301546439558
"CHD4","DAZAP1",4.65204314045044e-05,0.000877392809663564
"CHD4","SPOP",4.67580444682535e-05,0.000880737739981882
"MYH9","RPL22",4.72943765875492e-05,0.000890537065043752
"RNF43","KRAS",4.83425158401245e-05,0.000905918005408718
"CIC","KRAS",4.87518980396734e-05,0.000914082149754004
"CTCF","PIK3R1",4.88212981281584e-05,0.00091414266452056
"PPP2R1A","SETBP1",4.88300933183892e-05,0.00091414266452056
"CCND1","BRCA2",4.90607285859559e-05,0.000923025265797928
"RET","KRAS",4.94647843189978e-05,0.000928136374895645
"ZFP36L2","PIK3R1",5.02732960336841e-05,0.000952050132126701
"PPP2R1A","SPOP",5.04289114027028e-05,0.000952050132126701
"PPP2R1A","STAG2",5.04289114027028e-05,0.000952050132126701
"EZH2","DAZAP1",5.15285412990751e-05,0.0009755602437778
"SIN3A","FGFR2",5.16330968869797e-05,0.000977866351559312
"DAZAP1","SOS1",5.25086572302335e-05,0.000990174050561816
"PBRM1","ACVR1",5.25086572302335e-05,0.000990174050561816
"PPP2R1A","TSC1",5.26983662064399e-05,0.000990390692687448
"CTNNB1","EPHA3",5.31117358497471e-05,0.00099480053048972
"RPL22","PMS2",5.35687994190181e-05,0.00101187322872551
"ZMYM3","PIK3R1",5.38409311943816e-05,0.00101489661926048
"RNF43","ARHGAP35",5.47839647263573e-05,0.00102824345122394
"THRAP3","KRAS",5.51078126931921e-05,0.00103298217658204
"CCND1","TAF1",5.5403944398496e-05,0.00104077001821545
"COL5A1","KRAS",5.55247472071315e-05,0.00104077001821545
"ARID1A","PIK3R1",5.62304246353653e-05,0.00104319568387015
"ARID1A","SPOP",5.62692783332879e-05,0.00104319568387015
"ACVR2A","ERBB2",5.72917033084001e-05,0.00106242222334736
"NFE2L2","ARHGAP35",5.75162495017846e-05,0.00106242222334736
"ZMYM3","FGFR2",5.79688259410385e-05,0.00106410917111184
"IDH2","TP53",5.79733903004488e-05,0.00106410917111184
"CCND1","ZBTB7B",5.81365317064018e-05,0.00106778383331795
"ESR1","PPP2R1A",5.93310944465271e-05,0.00108741859227191
"ALB","DAZAP1",6.04961746116648e-05,0.00110678689394598
"CTNNB1","BCOR",6.12350180020834e-05,0.00112223254665614
"CTNNB1","AXIN2",6.15612374066771e-05,0.00112607692039101
"KRAS","DIAPH2",6.16844548467277e-05,0.00112607692039101
"AR","KRAS",6.16844548467277e-05,0.00112607692039101
"ZBTB20","KRAS",6.16844548467277e-05,0.00112607692039101
"MAP2K4","KRAS",6.17295665801888e-05,0.00112607692039101
"ARID1A","FGFR2",6.19262383195693e-05,0.00112716570853818
"PPP2R1A","TBL1XR1",6.21048402618377e-05,0.00112775574645117
"FOXA2","EP300",6.31125072223576e-05,0.00114370045955718
"PIK3CG","DAZAP1",6.51260648477217e-05,0.00118300031300888
"PPP2R1A","DIAPH2",6.55976517595422e-05,0.00119054222996436
"AR","PPP2R1A",6.55976517595422e-05,0.00119054222996436
"CTNNB1","TAF1",6.58466397741745e-05,0.00119054222996436
"TP53","SMAD2",6.58486147005833e-05,0.00119054222996436
"IRF6","TP53",6.58486147005833e-05,0.00119054222996436
"SMC1A","PIK3R1",6.61440368257827e-05,0.00119899693222392
"AXIN1","PIK3R1",6.68656999422499e-05,0.00120983061638676
"PBRM1","PPP2R1A",6.7044899033366e-05,0.00121361349054342
"NRAS","KRAS",6.72726232862501e-05,0.0012148672001031
"ZMYM3","CTNNB1",6.76728300398233e-05,0.00122662187769524
"RPL22","SPTA1",6.78898358458253e-05,0.0012271491388937
"INPPL1","PIK3R1",6.92215770488137e-05,0.00125385108270735
"KRAS","TBX3",6.97191415960896e-05,0.0012634126787138
"AXIN1","KRAS",6.97191415960896e-05,0.0012634126787138
"CUL1","KRAS",6.97191415960896e-05,0.0012634126787138
"TP53","B2M",7.00452155057759e-05,0.00127132530400141
"TGIF1","TP53",7.07575758153977e-05,0.00127776860105249
"PIK3CA","KMT2D",7.08003505876731e-05,0.00128137888122688
"CCND1","RB1",7.26174192947255e-05,0.00131820879315791
"RUNX1","DAZAP1",7.29458621483531e-05,0.00132475337054088
"PIK3R1","JAK3",7.33667393545991e-05,0.00132493492408639
"PGR","CTNNB1",7.41163629868124e-05,0.00134097889632044
"CTCF","PGR",7.41163629868124e-05,0.00134097889632044
"SCAF4","KRAS",7.44945648192731e-05,0.00134761906694063
"PIK3R1","COL5A1",7.45898345403268e-05,0.00134761906694063
"PPP2R1A","PLXNB2",7.52738780048325e-05,0.00135855617627579
"TSC2","PPP2R1A",7.59611026450451e-05,0.00136447369660503
"ACVR2A","KRAS",7.61444215093991e-05,0.00136656037610334
"PPP2R1A","FUBP1",7.63708233213632e-05,0.00136656037610334
"PPM1D","PPP2R1A",7.63708233213632e-05,0.00136656037610334
"ZFP36L2","ARID5B",7.70887657029427e-05,0.00137353757061865
"EEF2","KRAS",7.92376943657419e-05,0.00140111069570151
"TP53","ZNF750",8.08963270885201e-05,0.00142372844200665
"TP53","RPL5",8.08963270885201e-05,0.00142372844200665
"STAG2","DAZAP1",8.10549054934424e-05,0.00142754062954021
"PPP2R1A","FLT3",8.18101860989157e-05,0.00144591041247431
"RPL22","TAF1",8.25218777962277e-05,0.00145793129092534
"CCND1","EPAS1",8.29982237352199e-05,0.00146711683081646
"FOXA2","AKT1",8.33550869394549e-05,0.00147469671582586
"CHD4","ZBTB7B",8.41078549522282e-05,0.0014879760254473
"CCND1","CHD4",8.41078549522282e-05,0.0014879760254473
"EEF2","FOXA2",8.49058590629093e-05,0.00150240791160579
"CACNA1A","PIK3R1",8.52423492252322e-05,0.00150791773678107
"FOXA2","CASP8",8.59697560960825e-05,0.00152561623235868
"RPL22","ALK",8.6313954467878e-05,0.0015299144133027
"SMARCA4","PIK3R1",8.65808943106904e-05,0.00153288966441135
"RNF43","SMARCA1",8.75221989970962e-05,0.00155173060774893
"RNF43","SOX17",8.77601334707769e-05,0.00155181815173162
"AR","DAZAP1",8.78070326267601e-05,0.00155566772208311
"FGFR2","BCOR",8.79221816974905e-05,0.00155566772208311
"FGFR2","CHD3",8.79221816974905e-05,0.00155566772208311
"PPP2R1A","CIC",8.97141742380561e-05,0.00158367081342308
"TNFAIP3","KRAS",9.04931406602423e-05,0.00159585853523004
"NF1","ZFP36L2",9.10212558595767e-05,0.00160868129028498
"TSC2","KRAS",9.13907570811232e-05,0.00161162179285449
"EP300","DAZAP1",9.19816974848482e-05,0.00162513765665184
"CTNNB1","KDM5C",9.23473381590614e-05,0.00163470215975473
"NFE2L2","FBXW7",9.27273290640382e-05,0.00163536854785326
"PIK3R1","PTCH1",9.32372757968191e-05,0.00163851825627917
"MUC6","CTNNB1",9.36438521278921e-05,0.00164106401543141
"RPL22","RASA1",9.41752547484075e-05,0.00164302091099742
"SMARCB1","KRAS",9.56697964193056e-05,0.00166879008171516
"RPL22","MET",9.61402167332607e-05,0.0016716535586607
"CCND1","ASXL1",9.69898732203511e-05,0.0016951121310557
"ACVR2A","FOXA2",9.90684052277065e-05,0.00171981205441382
"RPL22","DICER1",9.92431741676336e-05,0.00172037551635149
"RNF111","KRAS",9.95166648239268e-05,0.00172688203819114
"BRCA1","DAZAP1",0.000101226372014103,0.00175998599035317
"EP300","FGFR2",0.000101635902988307,0.00176144644098348
"RNF43","NFE2L2",0.00010213806141426,0.0017714620430406
"RNF43","FGFR2",0.000102229259035904,0.00177258031121256
"PPP2R1A","KDM5C",0.000102502400680682,0.00177457382876946
"PDGFRA","PPP2R1A",0.000102502400680682,0.00177457382876946
"SIN3A","PIK3R1",0.000103581257035047,0.00177660717711747
"PTEN","SPOP",0.000103702618789559,0.00177660717711747
"EGFR","TP53",0.000103762931382778,0.00177660717711747
"TBL1XR1","TP53",0.000103762931382778,0.00177660717711747
"PPP2R1A","SMARCA4",0.00010510436493837,0.00180293608917288
"FGFR2","TAF1",0.000105551128646698,0.00180312019177887
"ARHGAP35","DAZAP1",0.000105837494894072,0.00181531239399594
"RPL22","RPL5",0.00010648538642947,0.00183010917646355
"SIN3A","PIK3R2",0.00010648538642947,0.00183010917646355
"SMARCA4","FGFR2",0.00010724057976771,0.00184895276099684
"NFE2L2","BRAF",0.000108261338499862,0.00187506425432222
"RPL22","MGA",0.000108347686464817,0.00187592082020393
"PLCG1","KRAS",0.000109569162624692,0.00188703956358618
"CTNNB1","PTCH1",0.000109584701959985,0.00188703956358618
"ARID2","CTNNB1",0.000109584701959985,0.00188703956358618
"CTCF","ACVR2A",0.000109584701959985,0.00188703956358618
"PIK3R1","MGA",0.000109612774687388,0.00188703956358618
"MSH6","DAZAP1",0.000109632625505313,0.00188703956358618
"KMT2A","PIK3R1",0.000109850614005798,0.00188904246349304
"CARD11","FOXA2",0.000110100069598431,0.001892127847155
"SPTAN1","PPP2R1A",0.000111141414943166,0.00190429579826147
"RPL22","ARID5B",0.000111681347194536,0.00191126491156923
"PPP2R1A","PIK3CB",0.000112031208843396,0.00191735750946112
"ATF7IP","FOXA2",0.000113115489515611,0.00193348847548289
"DAZAP1","RFC1",0.000115261937723839,0.0019672339436013
"PIK3R1","DIAPH2",0.000115533670973261,0.0019672339436013
"XPO1","DAZAP1",0.000115659935026822,0.0019672339436013
"PLXNB2","FBXW7",0.000115691144445828,0.0019672339436013
"ARID5B","PIK3R1",0.000117474943136767,0.00198760638812787
"CHD8","PIK3R1",0.000117474943136767,0.00198760638812787
"EEF2","SPOP",0.000118708350333867,0.00200157200097083
"CCND1","NFE2L2",0.000118845187401269,0.00200602066343566
"CACNA1A","CTNNB1",0.000119096319372721,0.00200602066343566
"SOX17","NIPBL",0.000119936146234362,0.00201707447681601
"RNF43","DIAPH2",0.000119948944861499,0.00201707447681601
"KIT","PIK3R1",0.000120592006938581,0.00201709521311922
"RPL22","ATM",0.000120746048762193,0.00201709521311922
"PPP2R1A","NOTCH1",0.000120837785942423,0.00201709521311922
"KMT2C","PIK3R1",0.000120856791246515,0.00201709521311922
"CHD3","PIK3R1",0.00012150701989969,0.00202185577275559
"PGR","NFE2L2",0.000121887488347701,0.00203535530437353
"MSH6","FOXA2",0.000122510792384502,0.00203887909457479
"RNF43","PHF6",0.000124709562295384,0.00205885785864517
"FGFR3","KRAS",0.000124808549688199,0.00205885785864517
"FGFR1","KRAS",0.000124808549688199,0.00205885785864517
"IDH2","KRAS",0.000124808549688199,0.00205885785864517
"FOXA2","NUP133",0.000124847953740732,0.00206176246946923
"ZBTB20","SPOP",0.000125053540141664,0.00206791766276421
"PPP2R1A","MYCN",0.000127280809115805,0.00210181227799837
"INPPL1","ARHGAP35",0.000127596474353598,0.00210616876987362
"MSH3","TNFAIP3",0.00012795794272719,0.00211249427639985
"PPP2R1A","ERBB4",0.000129253279723965,0.00212215540067344
"CTCF","RB1",0.000131328158951322,0.00214804563231869
"FOXA2","FAT1",0.000131460260590921,0.00215098683775429
"RPL22","GRIN2D",0.000131683822464939,0.002154375517807
"FGFR2","MGA",0.000132014674089861,0.00216170168324848
"PIK3R1","SOS1",0.000133985295442064,0.0021979897580155
"MUC6","PIK3R1",0.000133985295442064,0.0021979897580155
"PBRM1","PIK3R1",0.000133985295442064,0.0021979897580155
"FGFR2","CHD4",0.000135770901648541,0.00223481376043747
"SMC3","PPP2R1A",0.000136357074268316,0.00224339465397711
"KRAS","FUBP1",0.000137135472028897,0.00225628281136248
"PPP2R1A","MET",0.000137564731786613,0.00226655045461857
"CCND1","TLR4",0.000138409229812494,0.00228145460052758
"CCND1","ATM",0.00013987658103757,0.0023008279398656
"ARID5B","ACVR1",0.000141584127403797,0.00233657706820203
"FBXW7","SPTA1",0.000143565117870036,0.00236354607096798
"THRAP3","PIK3R1",0.000143768123393599,0.00236393145745672
"TP53","MYCN",0.000144395838386822,0.00236477278605945
"TRAF3","TP53",0.000144395838386822,0.00236477278605945
"MAX","TP53",0.000144395838386822,0.00236477278605945
"CCND1","POLE",0.000146757089474412,0.00239667338468643
"TP53","RNF111",0.000146856053921384,0.00239667338468643
"GRIN2D","KRAS",0.000147630047645018,0.00240518068318584
"TXNIP","KRAS",0.000149001510761458,0.00241350369222829
"B2M","KRAS",0.000149001510761458,0.00241350369222829
"NF1","SPOP",0.000149813600435709,0.00242164880289835
"ERBB2","TP53",0.000150748297587628,0.00243063031563204
"FOXA2","ASXL2",0.00015114614081358,0.00243063031563204
"FOXA2","EZH2",0.00015114614081358,0.00243063031563204
"SF3B1","FOXA2",0.00015114614081358,0.00243063031563204
"ARAF","DAZAP1",0.00015184302291997,0.00244025526743822
"TLR4","DAZAP1",0.00015184302291997,0.00244025526743822
"FOXA2","MTOR",0.000151923046498652,0.00244025526743822
"RPL22","FOXA2",0.000151923046498652,0.00244025526743822
"GABRA6","CTNNB1",0.00015208232414221,0.00244025526743822
"RNF43","TET2",0.000153160338849127,0.00245912854958987
"FGFR2","FAT1",0.000154366445512422,0.00247523952869122
"ACVR2A","SPOP",0.000154367775344485,0.00247523952869122
"CTNNB1","DHX9",0.000157860326482031,0.002514599611219
"SMC1A","DAZAP1",0.000158639695705646,0.00252185519660019
"KIT","DAZAP1",0.000159489254792305,0.00252548148735991
"PIK3R1","RASA1",0.00015981051944121,0.00252906343777836
"SPOP","JAK1",0.000160188029768626,0.00252906343777836
"PPP2R1A","CDK12",0.000160545438321914,0.00252906343777836
"PPP2R1A","RET",0.000160545438321914,0.00252906343777836
"PPP2R1A","FOXA2",0.000160545438321914,0.00252906343777836
"FBXW7","DAZAP1",0.000160940352591785,0.00252906343777836
"CTNNB1","LZTR1",0.000163212010267339,0.00255307400326352
"ACVR1","USP9X",0.000164847734843929,0.00259109969879737
"PTPRD","CTNNB1",0.000166326067277472,0.00261219384193236
"PPP2R1A","LATS1",0.000166862954684487,0.00263549686263468
"PPP2R1A","PTPRC",0.000166862954684487,0.00263549686263468
"CCND1","ATF7IP",0.000167468720003054,0.00264908905745175
"FGFR2","NOTCH1",0.000168956549414494,0.00268277955282085
"FGFR2","MTOR",0.000168956549414494,0.00268277955282085
"RPL22","EP300",0.000168956549414494,0.00268277955282085
"PIK3R2","DIAPH2",0.000169737318729335,0.002702669926005
"NUP133","ZBTB7B",0.000170636716186681,0.00272039369895779
"SETD2","PIK3R1",0.000171805718979825,0.00273524172072443
"RPL22","SMC1A",0.000175020614476143,0.0027843259009608
"RPL22","ERBB3",0.000175020614476143,0.0027843259009608
"ZCCHC12","FOXA2",0.000175272357184511,0.00279894322081181
"ESR1","FOXA2",0.000175272357184511,0.00279894322081181
"EP300","PIK3R1",0.000175841171022769,0.00281549602469057
"CCND1","ARID5B",0.000175886845317196,0.00281633718215722
"CTNNB1","NIPBL",0.000177637258462309,0.00283743234322294
"RBM10","KRAS",0.000178071305280854,0.00283868407394464
"RNF43","CACNA1A",0.000179084951612703,0.00284909369327155
"PPP2R1A","AKT1",0.000180957411359522,0.00287279788807684
