"gene1","gene2","p.value","q.value"
"FGFR3","TP53",4.4557379405533e-06,0.000447029030710933
"FGFR3","RB1",8.37255626536258e-06,0.000471540734062634
"ARID1A","FGFR3",6.82275609357069e-05,0.00417501273298275
"KDM6A","KMT2D",0.000143608562308233,0.00682112641977932
"KDM6A","RB1",0.000159436357147535,0.00682112641977932
