"gene1","gene2","p.value","q.value"
"CREBBP","TP53",0.000289965454789096,0.0052844909829939
"ARHGAP35","TP53",0.000308660552331179,0.00564614346154454
"KIF1A","KRAS",0.000315653975546299,0.00566164903569874
"MUC6","KRAS",0.000340691094294248,0.00602549134911785
"KMT2A","TP53",0.000347606668122255,0.00605885811566515
"RNF111","KRAS",0.000355839832723711,0.00618835851951979
"AXIN1","KRAS",0.000355839832723711,0.00618835851951979
"TGFBR2","SMAD4",0.000364178843800358,0.00621834241021825
"POLQ","KRAS",0.000366293948195915,0.00630845736600237
"TP53","MGA",0.000373726128125873,0.00641669301818686
"KRAS","KMT2D",0.000383569581849737,0.00647433983608557
"CARD11","NRAS",0.000383664924516104,0.00647806077406147
"TP53","NIPBL",0.000390110199991549,0.00666050841360524
"KRAS","EPHA3",0.000390959760157334,0.00666050841360524
"SOX9","PIK3R1",0.000409708396715545,0.0068322367934356
"SOX9","KANSL1",0.000409708396715545,0.0068322367934356
"ZBTB20","SOX9",0.000409708396715545,0.0068322367934356
"GRIN2D","TP53",0.000412012403055629,0.00684453008283803
"PTPRD","KRAS",0.000412228693013403,0.00684453008283803
"MAP3K1","KRAS",0.000426256736951616,0.00710629827176637
"SOX9","CHD4",0.000446316945790762,0.00741657388724916
"PTPRC","SOX9",0.000446316945790762,0.00741657388724916
"NCOR1","SMAD4",0.000455894754172082,0.00754500206615318
"NF1","TP53",0.00046668040586836,0.00787197980695977
"BRCA2","KRAS",0.000478302577982699,0.00794823221553419
"KMT2C","SMAD4",0.000494697437228568,0.00812137633040747
"HUWE1","TP53",0.000504122999334072,0.00829085650355684
"MACF1","APC",0.000511785901630424,0.00834416684502823
"POLRMT","SMAD4",0.000531660757226476,0.00866165425021945
"TP53","DMD",0.000533605210640972,0.00866165425021945
"TP53","MECOM",0.000538113042242315,0.00866165425021945
"FBXW7","DMD",0.000541605106550932,0.00866165425021945
"TCF7L2","FBXW7",0.000542457024771348,0.00866165425021945
"APC","KMT2D",0.000545822689877001,0.00866165425021945
"RBM10","DMD",0.000556508534950265,0.0087861823129484
"PIK3CA","NRAS",0.000568403613353813,0.008975145054382
"ACVR2A","NRAS",0.000572889851019933,0.0090617074298371
"NRAS","COL5A1",0.000586706472999354,0.00914832469351241
"EEF2","KRAS",0.000621507138840444,0.00958009907280461
"TP53","EPHA3",0.000625641019482246,0.00958009907280461
"MED12","TP53",0.000625641019482246,0.00958009907280461
"SOX9","NOTCH1",0.000634157865886033,0.00958009907280461
"SOX9","EP300",0.000634157865886033,0.00958009907280461
"PIK3CG","SOX9",0.000634157865886033,0.00958009907280461
"SIN3A","SOX9",0.000634157865886033,0.00958009907280461
"KDM5C","TP53",0.000652337389060251,0.009938171099426
"PTEN","SMAD4",0.00065336218275575,0.009938171099426
"SOX9","NF1",0.000663686709400714,0.0101006422085037
"TP53","SETBP1",0.000680618079206093,0.0101419146272064
"ARID2","TP53",0.000680618079206093,0.0101419146272064
